RMNH-17379		RMNH-20100		RMNH-2064		
FFN	-50.6	0.2	-51.8	0.6	-55.3	0
FFP	9	-0.1	1.2	0.1	10.9	0.1
SOP	53.9	-0.1	53.1	-0.4	53.3	0
V1	-103.7	-0.2	-94.5	-0.5	-101.2	0
V3	-39.1	0.1	-34.5	-0.1	-38.3	-0.1
BMF	31.4	0.4	29.8	0.7	31.8	0.1
OMF	45.3	-0.6	43.5	0	45.5	0.1
SOP_V	53.8	0.3	53.1	-0.4	NA	NA
tPM	-147.4	-3	-141.6	-4.4	-145.4	-3.7
IOF	-86.6	-17.7	-83.3	-18.6	-86.1	-20.7
P3	-81.2	-22.4	-77.6	-23.8	-80.7	-24.9
abM1	-65	-29.5	-61.9	-28.8	-63.2	-30.3
adJS	NA	NA	-13.5	-40.2	-13.6	-43.4
vZA	-2.2	-43.3	1.9	-40.5	2.4	-43.4
PSO	43.9	-12.6	42.9	-15.4	45.1	-15.5
PS(as)	-7.1	-17.6	-8.1	-18	-7.6	-21.9
JFO	-23.1	-46.2	-19.5	-41.9	-20.4	-47.2
LFO	-46.6	-27.4	-45.6	-27.2	-46.1	-30
JLO	-50.6	-34.4	-47.1	-33.4	-49.6	-36.5
aLJ	-61.1	-22.3	-61.8	-23.6	-62.9	-25.3
pMN	-64.2	-10.8	-68.4	-11.4	-66.5	-12.4
SNa	NA	NA	-103.6	-7.5	-103.9	-8.4
aN	-107.4	-0.3	-105.6	-0.6	-107.5	-0.3
BOC	30	-10.7	29.3	-9.1	30.6	-10.6
F8	9.1	-13.1	NA	NA	10.4	-14.3
PS(as)_V	-7.1	-17.6	-8.2	-17.9	-7.6	-21.8
JFO_V	-23.2	-46.4	-19.5	-42.2	-20.5	-47.3
JLO_V	-50.4	-34.5	-47.1	-33.5	-49.4	-36.6
pJM	-23.6	-35	-23.2	-33.4	-26.9	-35.5
pbM3	-33.1	-25.5	-32.8	-28	-34.4	-29.7
P3_V	-81.3	-22.1	-77.6	-23.8	-80.6	-24.8
P2dia	-88.9	-14.5	-85.1	-15.3	-88.1	-16.7
tPM_L	-147.3	3.3	-142.3	0.8	-146	2.2
IOF_L	NA	NA	-83.5	18.2	-86.5	21.1
P3_L	-80.5	23.2	-78.4	22.5	-80.7	25.5
abM1_L	-63.6	30.6	-62.3	28.6	-62.8	31.4
adJS_L	-16.1	42.1	-13.5	40.2	-13.8	43.8
vZA_L	-3.2	43.5	2.5	40	2	42.9
PSO_L	43.2	14.2	41.5	16.1	44.6	16.1
PS(as)_L	-7.2	17.3	-8.7	18.5	-7.5	21.8
JFO_L	-22.4	46.3	-20.1	41.8	-20.3	47.5
LFO_L	-46	27.9	-45.1	26.6	-46.3	29.8
JLO_L	-49.7	34.2	-46.2	34.1	-49.9	37.5
aLJ_L	-61.9	22.3	-62.8	24.1	-62.7	25.1
pMN_L	-64.8	10.7	-68.3	11.3	-66.4	12.3
SNa_L	-105.7	6.7	-104.8	7.2	-104.1	8.2
aN_L	-108	0.8	-106.3	0.6	-107.1	0.4
BOC_L	28.9	9.5	28	9.1	29.9	9.9
F8_L	10.9	12.4	10.4	13.7	10.4	14.3
PS(as)_LV	-7.2	17	-8.5	18.7	-7.5	21.9
JFO_LV	-22.3	46.1	-19.9	41.8	-20.4	47.6
JLO_LV	-49.6	34.2	-46.2	34.1	-49.9	37.5
pJM_L	-22.2	35.7	-24.7	33.2	-25.8	35.6
pbM3_L	-32.2	25.8	-33.4	27.2	-33.9	30.2
P3_LV	-80.5	23.2	-78.5	22.5	-80.8	25.4
P2dia_L	-88	14.7	-84.5	14.2	-87.8	17.3
