	RMNH-17379			RMNH-20100			RMNH-2064		
tPM	160.9375	-389.4881	59.2323	221.8354	-395.2896	59.9554	148.1021	-404.1487	59.4842
IOF	101.7749	-406.3202	47.7926	166.1786	-414.9141	49.3441	90.4632	-422.3128	46.3978
P3	99.068	-411.4143	33.0935	163.529	-421.1595	36.6489	87.1507	-426.4083	31.7906
abM1	84.1606	-419.171	25.5969	149.7043	-427.8728	28.5704	70.7838	-432.1818	23.4352
adJS	31.8279	-433.4948	45.0869	97.9407	-442.6079	46.4455	18.2119	-446.6902	43.3061
vZA	17.9645	-434.9229	42.3781	83.1988	-444.464	42.1661	2.3257	-446.9916	40.8933
PSO	-30.829	-405.7323	47.7358	37.679	-422.582	48.9338	-42.2394	-420.1611	47.201
PS(as)	NA	NA	NA	90.155	-420.931	47.0617	11.3588	-425.3882	45.0985
JFO	36.6381	-436.9342	57.0793	102.052	-443.3613	56.8265	23.6093	-450.4636	54.2834
LFO	57.2143	-417.2137	71.7441	123.9371	-425.7235	72.4683	46.7363	-432.8871	71.6544
JLO	63.2388	-424.1661	62.1131	128.3405	-432.2469	61.8134	52.3032	-439.1941	57.9571
aLJ	73.8629	-411.7343	59.9751	142.9811	-421.3903	58.3612	65.649	-427.6036	57.0484
pMN	73.8884	-399.9547	75.367	145.2661	-407.8393	74.0974	66.7766	-414.9084	73.0222
SNa	115.5147	-393.6945	75.6692	180.9651	-401.044	72.6029	104.112	-410.0349	74.8726
aN	116.6552	-387.9244	79.3836	181.5206	-393.8083	76.3728	107.0744	-401.8884	78.6749
FFN	59.0322	-389.3943	78.7077	126.2817	-397.197	78.5894	54.3177	-402.8479	79.079
FFP	-1.8892	-391.6985	81.5159	71.6887	-402.0857	82.4486	-13.2952	-404.3521	84.2904
SOP	-39.6489	-393.6105	37.5385	27.9609	-409.043	38.7801	-50.2527	-404.8388	42.7489
tPM_L	160.5062	-383.1924	59.7079	221.9696	-389.9941	60.3929	148.4697	-398.1936	59.9704
IOF_L	99.8296	-370.5943	47.5635	163.3179	-378.2486	47.0553	89.7111	-380.5997	48.1068
P3_L	96.6553	-365.8494	33.3318	160.4627	-375.106	33.3114	85.7547	-376.1336	33.6562
abM1_L	80.7598	-359.0829	24.8613	145.4964	-370.8344	23.9608	68.6975	-370.4985	25.6075
adJS_L	28.6471	-349.0253	44.2457	NA	NA	NA	16.4653	-359.5202	43.2627
vZA_L	15.9409	-348.1272	41.9463	76.0354	-364.4187	36.2245	0.8988	-360.7505	41.0512
PSO_L	-30.9932	-378.9252	47.0486	36.3614	-391.17	47.7728	-42.3742	-388.6048	46.9059
PS(as)_L	20.7578	-374.1151	42.9196	87.767	-384.5308	44.4562	10.3402	-381.6258	45.5192
JFO_L	32.6909	-344.5213	56.4148	96.2402	-360.1842	48.5228	21.375	-355.8179	54.7378
LFO_L	54.6917	-361.9015	71.288	118.917	-372.2598	69.1948	45.5591	-373.1252	72.3083
JLO_L	59.9146	-355.621	61.8669	122.2209	-365.2809	54.9223	50.8485	-365.2021	59.0533
aLJ_L	73.1294	-367.1066	59.8599	140.309	-373.8719	53.4741	64.3075	-377.2687	57.4661
pMN_L	73.7579	-378.4453	75.2271	143.1748	-385.3228	73.2169	65.9599	-390.1671	73.7601
SNa_L	115.2897	-381.0143	75.7288	180.9187	-386.3248	71.5804	103.871	-393.4388	75.9671
aN_L	117.2733	-386.8592	79.2349	182.1254	-392.5816	76.3758	106.6381	-401.2371	79.0014
V1	113.6696	-408.5606	41.2782	60.7671	-403.0117	37.1579	108.8101	-393.3962	45.0368
V3	78.104	-407.4086	97.7664	11.9428	-403.5491	75.4776	74.575	-393.2173	101.3158
BMF	25.9593	-406.9228	145.2408	-47.3412	-405.3655	100.4221	21.1131	-390.4568	146.6013
OMF	9.3186	-406.2255	147.7428	-65.2853	-405.4978	93.4861	3.9135	-388.7238	147.686
SOP_V	-10.6934	-407.7251	138.9567	-81.3424	-406.1703	80.4523	-16.9818	-385.3721	135.7102
BOC	23.1928	-396.0493	140.0698	-49.5133	-395.8102	94.3148	19.6028	-379.2579	142.4517
F8	33.1851	-394.1837	120.0781	-36.2378	-391.7787	78.1592	29.395	-375.3451	122.6795
PS(as)_V	36.286	-390.356	99.7391	-23.8754	-387.4814	59.6422	34.9321	-366.9566	101.2866
JFO_V	40.434	-362.2373	80.2423	-16.6775	-363.3765	48.7165	42.0244	-341.2561	88.3416
JLO_V	60.3594	-374.3841	61.8965	8.8246	-371.6941	37.9049	63.061	-353.0868	69.183
pJM	55.3881	-372.8257	95.6487	-5.2921	-371.1742	65.2531	59.7076	-355.7556	99.5131
pbM3	72.4776	-381.8235	100.1277	10.1119	-375.6126	76.4686	73.9081	-363.4588	104.7443
P3_V	106.7748	-385.8074	66.2983	NA	NA	NA	105.4884	-369.6649	70.9492
P2dia	108.8885	-393.6702	57.4804	55.2669	-387.8954	48.8244	106.1392	-377.2305	60.9172
BOC_L	24.6645	-416.3109	140.3167	-47.5855	-413.9396	94.992	17.8539	-399.6374	140.5962
F8_L	31.9249	-419.7134	121.8057	-34.8543	-418.6938	79.9594	NA	NA	NA
PS(as)_LV	37.2662	-424.991	101.2188	-22.1331	-424.0369	61.514	30.0758	-410.3262	98.44
JFO_LV	40.9476	-454.6973	83.6055	-12.219	-447.0557	54.772	32.1974	-435.4412	82.9305
JLO_LV	60.2891	-443.1177	64.0974	11.2563	-439.0315	43.0814	55.3078	-426.6007	63.9378
pJM_L	55.145	-443.4108	98.5757	-1.4059	-437.6136	68.0859	50.8867	-426.2115	95.3848
pbM3_L	72.8815	-433.0244	102.7349	12.8598	-430.696	79.2362	66.9313	-422.8536	101.135
P3_LV	106.346	-431.0861	67.6945	52.1796	-425.5509	56.89	99.1474	-419.3284	66.5014
P2dia_L	108.2878	-422.8615	58.7816	55.8449	-417.3464	50.4749	101.5833	-410.825	58.121
